tool,preset,effect_pattern,effect_sigma_mult,noise_model,attacker_threshold_ns,dataset_id,samples_per_class,detected,statistic,p_value,time_ms,samples_used,status,outcome
mona,medium,shift,0,ar1-n0.6,,12,5000,false,,,0,10000,no non-overlapping box found,pass
silent-native,medium,shift,0,ar1-n0.6,,3,5000,false,0.050000,,243,10000,"diff=6.6ns, CI_lower=-4.6ns, Δ=168.6ns",pass
tacet,medium,shift,0,ar1-n0.6,100,28,5000,false,0.000000,,270,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,28,5000,false,,,3,5644,"max|t|=1.93, tau=-0.0257, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,28,5000,false,,,0,10000,"|t|=0.19, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,28,5000,false,0.255780,,1,10000,"D=0.0136, p=0.7442, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,28,5000,false,0.655141,,0,10000,"A²=0.7745, p=0.3449, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,28,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.6,0.4,0,5000,false,0.031250,,300,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 25.585257656791054, leak_probability_at_eff: 0.03125, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 25.6ns; P=3.1% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.3,0.4,20,5000,false,0.078125,,312,5000,"Inconclusive: SampleBudgetExceeded { current_probability: 0.078125, samples_collected: 5000 }",inconclusive
tacet,medium,shift,0,ar1-n0.6,0.4,25,5000,false,0.005208,,340,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 25.594867501849293, leak_probability_at_eff: 0.005208333333333333, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 25.6ns; P=0.5% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.6,100,3,5000,false,0.000000,,378,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,3,5000,false,,,3,4988,"max|t|=2.11, tau=-0.0299, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,3,5000,false,,,0,10000,"|t|=0.98, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,3,5000,false,0.322265,,1,10000,"D=0.0144, p=0.6777, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,3,5000,false,0.622971,,0,10000,"A²=0.6139, p=0.3770, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,3,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.6,0.4,4,5000,false,0.000000,,305,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 29.364652178147114, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 29.4ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.6,100,0,5000,false,0.000000,,339,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,0,5000,false,,,4,1869,"max|t|=1.32, tau=-0.0306, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,0,5000,false,,,0,10000,"|t|=0.37, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,0,5000,false,0.016005,,3,10000,"D=0.0092, p=0.9840, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,0,5000,false,0.550017,,0,10000,"A²=0.2497, p=0.4500, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,0,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.6,100,25,5000,false,0.000000,,315,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,25,5000,false,,,3,7492,"max|t|=2.08, tau=-0.0241, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,25,5000,false,,,0,10000,"|t|=0.86, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,25,5000,false,0.607269,,1,10000,"D=0.0180, p=0.3927, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,25,5000,false,0.648432,,0,10000,"A²=0.7410, p=0.3516, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,25,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.3,100,20,5000,false,0.000000,,369,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.3,,20,5000,false,,,3,8102,"max|t|=1.90, tau=-0.0211, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.3,,20,5000,false,,,0,10000,"|t|=0.15, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.3,,20,5000,false,0.406372,,1,10000,"D=0.0154, p=0.5936, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.3,,20,5000,false,0.668495,,0,10000,"A²=0.8412, p=0.3315, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.3,,20,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.6,100,4,5000,false,0.000000,,277,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,4,5000,false,,,8,8461,"max|t|=1.71, tau=0.0186, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,4,5000,false,,,0,10000,"|t|=0.86, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,4,5000,false,0.779794,,1,10000,"D=0.0210, p=0.2202, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,4,5000,false,0.715809,,0,10000,"A²=1.0774, p=0.2842, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.3,,3,5000,false,0.644817,,0,10000,"A²=0.7230, p=0.3552, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.3,,3,5000,false,,,0,10000,no non-overlapping box found,pass
rtlf-native,medium,shift,0,ar1-n0.3,,7,5000,false,0.090000,,2800,10000,"no significant deciles, max_excess=0.48",pass
rtlf-native,medium,shift,0,ar1-n0.3,,4,5000,false,0.090000,,2892,10000,"no significant deciles, max_excess=0.52",pass
rtlf-native,medium,shift,0,ar1-n0.6,,4,5000,false,0.090000,,2906,10000,"no significant deciles, max_excess=0.70",pass
rtlf-native,medium,shift,0,ar1-n0.6,,1,5000,false,0.090000,,2909,10000,"no significant deciles, max_excess=0.70",pass
rtlf-native,medium,shift,0,ar1-n0.3,,2,5000,false,0.090000,,2913,10000,"no significant deciles, max_excess=0.45",pass
rtlf-native,medium,shift,0,ar1-n0.3,,1,5000,false,0.090000,,2910,10000,"no significant deciles, max_excess=1.00",pass
rtlf-native,medium,shift,0,ar1-n0.6,,6,5000,false,0.090000,,2939,10000,"no significant deciles, max_excess=0.44",pass
rtlf-native,medium,shift,0,ar1-n0.6,,12,5000,false,0.090000,,2976,10000,"no significant deciles, max_excess=0.44",pass
silent-native,medium,shift,0,ar1-n0.3,,7,5000,false,0.050000,,218,10000,"diff=3.7ns, CI_lower=-7.4ns, Δ=170.6ns",pass
silent-native,medium,shift,0,ar1-n0.6,,1,5000,false,0.050000,,188,10000,"diff=4.8ns, CI_lower=-6.4ns, Δ=168.2ns",pass
silent-native,medium,shift,0,ar1-n0.3,,4,5000,false,0.050000,,220,10000,"diff=5.8ns, CI_lower=-5.2ns, Δ=170.0ns",pass
silent-native,medium,shift,0,ar1-n0.6,,4,5000,false,0.050000,,219,10000,"diff=5.9ns, CI_lower=-4.8ns, Δ=169.7ns",pass
silent-native,medium,shift,0,ar1-n0.6,,6,5000,false,0.050000,,199,10000,"diff=5.9ns, CI_lower=-4.9ns, Δ=170.0ns",pass
silent-native,medium,shift,0,ar1-n0.3,,2,5000,false,0.050000,,235,10000,"diff=3.4ns, CI_lower=-8.1ns, Δ=170.0ns",pass
silent-native,medium,shift,0,ar1-n0.3,,1,5000,false,0.050000,,232,10000,"diff=4.5ns, CI_lower=-6.3ns, Δ=169.1ns",pass
rtlf-native,medium,shift,0,ar1-n0.6,,28,5000,false,0.090000,,2883,10000,"no significant deciles, max_excess=0.59",pass
silent-native,medium,shift,0,ar1-n0.6,,12,5000,false,0.050000,,224,10000,"diff=0.8ns, CI_lower=-11.9ns, Δ=169.4ns",pass
tacet,medium,shift,0,ar1-n0.3,0.4,8,5000,false,0.015625,,285,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 25.980701256164934, leak_probability_at_eff: 0.015625, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 26.0ns; P=1.6% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
rtlf-native,medium,shift,0,ar1-n0.6,,3,5000,false,0.090000,,2939,10000,"no significant deciles, max_excess=0.58",pass
silent-native,medium,shift,0,ar1-n0.6,,28,5000,false,0.050000,,222,10000,"diff=1.3ns, CI_lower=-12.1ns, Δ=173.8ns",pass
tacet,medium,shift,0,ar1-n0.6,0.4,2,5000,false,0.000000,,315,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 29.142374252054516, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 29.1ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.6,0.4,7,5000,false,0.000000,,285,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 26.223356784782432, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 26.2ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.3,0.4,5,5000,false,0.005208,,333,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 26.018577201796933, leak_probability_at_eff: 0.005208333333333333, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 26.0ns; P=0.5% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.3,0.4,3,5000,false,0.005208,,300,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 25.475952714141275, leak_probability_at_eff: 0.005208333333333333, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 25.5ns; P=0.5% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.6,0.4,5,5000,false,0.000000,,326,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 27.11103799643722, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 27.1ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.3,0.4,2,5000,false,0.000000,,342,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 27.807803496316716, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 27.8ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
rtlf-native,medium,shift,0,ar1-n0.6,,25,5000,false,0.090000,,2849,10000,"no significant deciles, max_excess=0.56",pass
rtlf-native,medium,shift,0,ar1-n0.6,,0,5000,false,0.090000,,2871,10000,"no significant deciles, max_excess=0.50",pass
tacet,medium,shift,0,ar1-n0.6,0.4,13,5000,false,0.072917,,350,5000,"Inconclusive: SampleBudgetExceeded { current_probability: 0.07291666666666667, samples_collected: 5000 }",inconclusive
rtlf-native,medium,shift,0,ar1-n0.3,,20,5000,false,0.090000,,2895,10000,"no significant deciles, max_excess=0.57",pass
tacet,medium,shift,0,ar1-n0.3,100,8,5000,false,0.000000,,333,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.3,,8,5000,false,,,3,4246,"max|t|=2.05, tau=0.0314, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.3,,8,5000,false,,,0,10000,"|t|=0.57, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.3,,8,5000,false,0.239582,,1,10000,"D=0.0134, p=0.7604, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.3,,8,5000,false,0.660839,,0,10000,"A²=0.8030, p=0.3392, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.3,,8,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,iid,0.4,15,5000,false,0.135417,,350,5000,"Inconclusive: SampleBudgetExceeded { current_probability: 0.13541666666666666, samples_collected: 5000 }",inconclusive
tacet,medium,shift,0,ar1-n0.6,0.4,29,5000,false,0.005208,,298,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 26.16129528850735, leak_probability_at_eff: 0.005208333333333333, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 26.2ns; P=0.5% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
rtlf-native,medium,shift,0,ar1-n0.3,,3,5000,false,0.090000,,2848,10000,"no significant deciles, max_excess=0.44",pass
tacet,medium,shift,0,ar1-n0.3,100,3,5000,false,0.000000,,253,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.3,,3,5000,false,,,3,9965,"max|t|=1.26, tau=-0.0126, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.3,,3,5000,false,,,0,10000,"|t|=1.24, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.3,,3,5000,false,0.339114,,1,10000,"D=0.0146, p=0.6609, alpha=0.05",pass
timing-tvla,medium,shift,0,ar1-n0.6,,2,5000,false,,,0,10000,"|t|=0.30, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,2,5000,false,0.660081,,1,10000,"D=0.0188, p=0.3399, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,2,5000,false,0.688828,,0,10000,"A²=0.9427, p=0.3112, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,2,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.6,100,2,5000,false,0.000000,,304,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,2,5000,false,,,3,4988,"max|t|=2.01, tau=-0.0285, threshold=4.5",pass
ks-test,medium,shift,0,iid,,27,5000,false,0.944871,,0,10000,"D=0.0268, p=0.0551, alpha=0.05",pass
ad-test,medium,shift,0,iid,,27,5000,true,0.952111,,0,10000,"A²=2.5282, p=0.0479, alpha=0.05",fail
mona,medium,shift,0,iid,,27,5000,false,,,0,10000,no non-overlapping box found,pass
silent-native,medium,shift,0,ar1-n0.6,,0,5000,false,0.050000,,207,10000,"diff=2.5ns, CI_lower=-8.7ns, Δ=168.8ns",pass
silent-native,medium,shift,0,ar1-n0.6,,25,5000,false,0.050000,,227,10000,"diff=5.9ns, CI_lower=-4.6ns, Δ=170.9ns",pass
tacet,medium,shift,0,ar1-n0.6,100,7,5000,false,0.000000,,311,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,7,5000,false,,,3,4251,"max|t|=1.37, tau=-0.0211, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,7,5000,false,,,0,10000,"|t|=0.51, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,7,5000,false,0.239582,,1,10000,"D=0.0134, p=0.7604, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,7,5000,false,0.596565,,0,10000,"A²=0.4821, p=0.4034, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,7,5000,false,,,0,10000,no non-overlapping box found,pass
silent-native,medium,shift,0,ar1-n0.3,,20,5000,false,0.050000,,214,10000,"diff=1.0ns, CI_lower=-10.9ns, Δ=167.5ns",pass
tacet,medium,shift,0,ar1-n0.6,100,5,5000,false,0.000000,,345,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,5,5000,false,,,3,2420,"max|t|=1.43, tau=-0.0291, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,5,5000,false,,,0,10000,"|t|=0.27, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,5,5000,false,0.255780,,1,10000,"D=0.0136, p=0.7442, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,5,5000,false,0.583735,,0,10000,"A²=0.4180, p=0.4163, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,5,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.3,100,5,5000,false,0.000000,,362,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.3,,5,5000,false,,,3,1876,"max|t|=1.25, tau=-0.0288, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.3,,5,5000,false,,,0,10000,"|t|=0.53, threshold=4.5",pass
tacet,medium,shift,0,ar1-n0.3,100,2,5000,false,0.000000,,327,5000,Pass (P=0.0%),pass
ks-test,medium,shift,0,ar1-n0.3,,5,5000,false,0.519365,,9,10000,"D=0.0168, p=0.4806, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.3,,5,5000,false,0.620385,,0,10000,"A²=0.6010, p=0.3796, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.3,,5,5000,false,,,0,10000,no non-overlapping box found,pass
dudect,medium,shift,0,ar1-n0.3,,2,5000,false,,,7,666,"max|t|=1.32, tau=0.0513, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.3,,2,5000,false,,,0,10000,"|t|=0.51, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.3,,2,5000,false,0.534681,,1,10000,"D=0.0170, p=0.4653, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.3,,2,5000,false,0.610933,,0,10000,"A²=0.5538, p=0.3891, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.3,,2,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.6,100,13,5000,false,0.000000,,297,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,13,5000,false,,,6,7500,"max|t|=2.52, tau=-0.0291, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,13,5000,false,,,0,10000,"|t|=0.46, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,13,5000,false,0.534681,,1,10000,"D=0.0170, p=0.4653, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,13,5000,false,0.760604,,0,10000,"A²=1.2805, p=0.2394, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,13,5000,false,,,0,10000,no non-overlapping box found,pass
silent-native,medium,shift,0,ar1-n0.3,,3,5000,false,0.050000,,205,10000,"diff=8.4ns, CI_lower=-2.8ns, Δ=169.2ns",pass
tacet,medium,shift,0,ar1-n0.6,100,29,5000,false,0.000000,,340,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,29,5000,false,,,5,670,"max|t|=2.63, tau=-0.1015, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,29,5000,false,,,0,10000,"|t|=0.36, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,29,5000,false,0.322265,,1,10000,"D=0.0144, p=0.6777, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,29,5000,false,0.610259,,0,10000,"A²=0.5505, p=0.3897, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,29,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.6,0.4,1,5000,false,0.005208,,308,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 28.36891872978315, leak_probability_at_eff: 0.005208333333333333, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 28.4ns; P=0.5% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,iid,100,15,5000,false,0.000000,,366,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,iid,,15,5000,false,,,4,7305,"max|t|=1.87, tau=0.0219, threshold=4.5",pass
timing-tvla,medium,shift,0,iid,,15,5000,false,,,0,10000,"|t|=0.37, threshold=4.5",pass
ks-test,medium,shift,0,iid,,15,5000,false,0.707941,,0,10000,"D=0.0196, p=0.2921, alpha=0.05",pass
ad-test,medium,shift,0,iid,,15,5000,false,0.766245,,0,10000,"A²=1.2983, p=0.2338, alpha=0.05",pass
mona,medium,shift,0,iid,,15,5000,false,,,0,10000,no non-overlapping box found,pass
silent-native,medium,shift,0,ar1-n0.6,,2,5000,false,0.050000,,226,10000,"diff=2.0ns, CI_lower=-9.8ns, Δ=170.4ns",pass
tacet,medium,shift,0,ar1-n0.6,0.4,26,5000,false,0.026042,,342,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 27.819238866779866, leak_probability_at_eff: 0.026041666666666668, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 27.8ns; P=2.6% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.3,0.4,21,5000,false,0.000000,,312,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 25.070227955151474, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 25.1ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.3,0.4,4,5000,false,0.000000,,308,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 27.632716103262435, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 27.6ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.6,100,1,5000,false,0.000000,,296,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,1,5000,false,,,3,7126,"max|t|=1.78, tau=0.0211, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,1,5000,false,,,0,10000,"|t|=0.72, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,1,5000,false,0.730000,,1,10000,"D=0.0200, p=0.2700, alpha=0.05",pass
ks-test,medium,shift,0,iid,,2,5000,false,0.740566,,0,10000,"D=0.0202, p=0.2594, alpha=0.05",pass
ad-test,medium,shift,0,iid,,2,5000,false,0.883093,,0,10000,"A²=1.8164, p=0.1169, alpha=0.05",pass
mona,medium,shift,0,iid,,2,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.6,0.4,3,5000,false,0.000000,,311,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 27.076080986589208, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 27.1ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.6,100,26,5000,false,0.000000,,284,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,26,5000,false,,,3,7667,"max|t|=0.80, tau=-0.0091, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,26,5000,false,,,0,10000,"|t|=0.34, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,26,5000,false,0.067497,,1,10000,"D=0.0108, p=0.9325, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,26,5000,false,0.557353,,0,10000,"A²=0.2863, p=0.4426, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,26,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.3,100,21,5000,false,0.000000,,312,5000,Pass (P=0.0%),pass
